ID	Name	Def	Def Source	Relationship	Is Obsolete	Synonym	Synonym Type
BIOGRID_CHEMACTION:0000001	Chemical Action	Terms relating to effects and modes of employment for drugs and chemicals.	BIOGRID:curators	root	FALSE	none	none
BIOGRID_CHEMACTION:0000002	inhibitor	none	none	BIOGRID_CHEMACTION:0000001	FALSE	none	none
BIOGRID_CHEMACTION:0000003	antagonist	none	none	BIOGRID_CHEMACTION:0000001	FALSE	none	none
BIOGRID_CHEMACTION:0000004	agonist	none	none	BIOGRID_CHEMACTION:0000001	FALSE	none	none
BIOGRID_CHEMACTION:0000005	binder	none	none	BIOGRID_CHEMACTION:0000001	FALSE	none	none
BIOGRID_CHEMACTION:0000006	antibody	none	none	BIOGRID_CHEMACTION:0000001	FALSE	none	none
BIOGRID_CHEMACTION:0000007	activator	none	none	BIOGRID_CHEMACTION:0000001	FALSE	none	none
BIOGRID_CHEMACTION:0000008	cofactor	none	none	BIOGRID_CHEMACTION:0000001	FALSE	none	none
BIOGRID_CHEMACTION:0000009	chaperone	none	none	BIOGRID_CHEMACTION:0000001	FALSE	none	none
BIOGRID_CHEMACTION:0000010	modulator	none	none	BIOGRID_CHEMACTION:0000001	FALSE	none	none
BIOGRID_CHEMACTION:0000011	inactivator	none	none	BIOGRID_CHEMACTION:0000001	FALSE	none	none
BIOGRID_CHEMACTION:0000012	inducer	none	none	BIOGRID_CHEMACTION:0000001	FALSE	none	none
BIOGRID_CHEMACTION:0000013	unknown	none	none	BIOGRID_CHEMACTION:0000001	FALSE	none	none
BIOGRID_CHEMACTION:0000014	metabolizer	none	none	BIOGRID_CHEMACTION:0000001	FALSE	none	none
BIOGRID_CHEMACTION:0000015	multitarget	none	none	BIOGRID_CHEMACTION:0000001	FALSE	none	none
BIOGRID_CHEMACTION:0000016	substrate	none	none	BIOGRID_CHEMACTION:0000001	FALSE	none	none
BIOGRID_CHEMACTION:0000017	cleavage	none	none	BIOGRID_CHEMACTION:0000001	FALSE	none	none
BIOGRID_CHEMACTION:0000018	stimulator	none	none	BIOGRID_CHEMACTION:0000001	FALSE	none	none
BIOGRID_CHEMACTION:0000019	ligand	none	none	BIOGRID_CHEMACTION:0000001	FALSE	none	none
BIOGRID_CHEMACTION:0000020	product of	none	none	BIOGRID_CHEMACTION:0000001	FALSE	none	none
BIOGRID_CHEMACTION:0000021	inhibitory allosteric modulator	none	none	BIOGRID_CHEMACTION:0000001	FALSE	none	none
BIOGRID_CHEMACTION:0000022	negative modulator	none	none	BIOGRID_CHEMACTION:0000001	FALSE	none	none
BIOGRID_CHEMACTION:0000023	positive allosteric modulator	none	none	BIOGRID_CHEMACTION:0000001	FALSE	none	none
BIOGRID_CHEMACTION:0000024	inverse agonist	none	none	BIOGRID_CHEMACTION:0000001	FALSE	none	none
BIOGRID_CHEMACTION:0000025	partial agonist	none	none	BIOGRID_CHEMACTION:0000001	FALSE	none	none
BIOGRID_CHEMACTION:0000026	potentiator	none	none	BIOGRID_CHEMACTION:0000001	FALSE	none	none
BIOGRID_CHEMACTION:0000027	blocker	none	none	BIOGRID_CHEMACTION:0000001	FALSE	none	none
BIOGRID_CHEMACTION:0000028	binding	none	none	BIOGRID_CHEMACTION:0000001	FALSE	none	none
BIOGRID_CHEMACTION:0000029	adduct	none	none	BIOGRID_CHEMACTION:0000001	FALSE	none	none
BIOGRID_CHEMACTION:0000030	chelator	none	none	BIOGRID_CHEMACTION:0000001	FALSE	none	none
BIOGRID_CHEMACTION:0000031	partial antagonist	none	none	BIOGRID_CHEMACTION:0000001	FALSE	none	none
BIOGRID_CHEMACTION:0000032	suppressor	none	none	BIOGRID_CHEMACTION:0000001	FALSE	none	none
BIOGRID_CHEMACTION:0000033	intercalation	none	none	BIOGRID_CHEMACTION:0000001	FALSE	none	none
BIOGRID_CHEMACTION:0000034	positive modulator	none	none	BIOGRID_CHEMACTION:0000001	FALSE	none	none
BIOGRID_CHEMACTION:0000035	allosteric modulator	none	none	BIOGRID_CHEMACTION:0000001	FALSE	none	none
BIOGRID_CHEMACTION:0000036	desensitize the target	none	none	BIOGRID_CHEMACTION:0000001	FALSE	none	none
BIOGRID_CHEMACTION:0000037	conversion inhibitor	none	none	BIOGRID_CHEMACTION:0000001	FALSE	none	none
BIOGRID_CHEMACTION:0000038	acetylation	none	none	BIOGRID_CHEMACTION:0000001	FALSE	none	none
BIOGRID_CHEMACTION:0000039	reducer	none	none	BIOGRID_CHEMACTION:0000001	FALSE	none	none
BIOGRID_CHEMACTION:0000040	"inhibitor, competitive"	none	none	BIOGRID_CHEMACTION:0000001	FALSE	none	none
BIOGRID_CHEMACTION:0000041	neutralizer	none	none	BIOGRID_CHEMACTION:0000001	FALSE	none	none
BIOGRID_CHEMACTION:0000042	competitive	none	none	BIOGRID_CHEMACTION:0000001	FALSE	none	none
