ID	Name	Def	Def Source	Relationship	Is Obsolete	Synonym	Synonym Type
BIOGRID_SYSTEM:0000001	Experimental System	BioGRID Experimental Systems used to classify interactions	BIOGRID:Curators	root	FALSE	none	none
BIOGRID_SYSTEM:0000002	Physical Interaction	none	none	BIOGRID_SYSTEM:0000001	FALSE	none	none
BIOGRID_SYSTEM:0000003	In Vivo	none	none	BIOGRID_SYSTEM:0000002	FALSE	none	none
BIOGRID_SYSTEM:0000004	In Vitro	none	none	BIOGRID_SYSTEM:0000002	FALSE	none	none
BIOGRID_SYSTEM:0000005	Genetic Interaction	none	none	BIOGRID_SYSTEM:0000001	FALSE	none	none
BIOGRID_SYSTEM:0000006	Affinity Capture-Luminescence	"An interaction is inferred when a bait protein, tagged with luciferase, is enzymatically detected in immunoprecipitates of the prey protein as light emission. The prey protein is affinity captured from cell extracts by either polyclonal antibody or epitope tag."	BIOGRID:Curators	BIOGRID_SYSTEM:0000003	FALSE	none	none
BIOGRID_SYSTEM:0000007	Affinity Capture-MS	An interaction is inferred when a bait protein is affinity captured from cell extracts by either polyclonal antibody or epitope tag and the associated interaction partner is identified by mass spectrometric methods.	BIOGRID:Curators	BIOGRID_SYSTEM:0000003	FALSE	none	none
BIOGRID_SYSTEM:0000008	Affinity Capture-RNA	"An interaction is inferred when a bait protein is affinity captured from cell extracts by either polyclonal antibody or epitope tag and associated RNA species identified by Northern blot, RT-PCR, affinity labeling, sequencing, or microarray analysis."	BIOGRID:Curators	BIOGRID_SYSTEM:0000003	FALSE	none	none
BIOGRID_SYSTEM:0000009	Affinity Capture-Western	An interaction is inferred when a bait protein is affinity captured from cell extracts by either polyclonal antibody or epitope tag and the associated interaction partner identified by Western blot with a specific polyclonal antibody or second epitope tag. This category is also used if an interacting protein is visualized directly by dye stain or radioactivity. Note that this differs from any co-purification experiment involving affinity capture in that the co-purification experiment involves at least one extra purification step to get rid of potential contaminating proteins.	BIOGRID:Curators	BIOGRID_SYSTEM:0000003	FALSE	none	none
BIOGRID_SYSTEM:0000010	Co-fractionation	"Interaction inferred from the presence of two or more protein subunits in a partially purified protein preparation. If co-fractionation is demonstrated between 3 or more proteins, then add them as a complex."	BIOGRID:Curators	BIOGRID_SYSTEM:0000003	FALSE	none	none
