ID	Name	Def	Def Source	Relationship	Is Obsolete	Synonym	Synonym Type
BIOGRID_PTAG:0000001	Participant Tag	An tag denoting additional annotation specifically attributed to a single participant	BioGRID:Curators	root	FALSE	none	none
BIOGRID_PTAG:0000002	Ubiquitin Functional Group	Tag mappings from the Ubiquitin Functional Group column of the Ubiquitin Project Supplementary File.	BioGRID:Curators	BIOGRID_PTAG:0000001	FALSE	none	none
BIOGRID_PTAG:0000003	Post Translational Modifications	These are dynamic tags for entries pertaining to Post Translational Modifications on the Protein.	BioGRID:Curators	BIOGRID_PTAG:0000001	FALSE	none	none
BIOGRID_PTAG:0000004	DUB	"Deubiquitinating enzyme that releases free ubiquitin from ubiquitinated proteins or polyubiquitin chains; there are two DUB families: the cysteine protease family (USP, UCH, MJD, and OTU; eg, yeast UBP2) and the metalloprotease JAMM/MPN family (eg, human BRCC3)."	BioGRID:Curators	BIOGRID_PTAG:0000002	FALSE	DUB	abbreviation
BIOGRID_PTAG:0000005	BRCA1-A COMPLEX	Seven-member complex that functions in the DNA damage response and has structural similarity to the 19S proteasomal lid; has E3 ligase and deubiquitinase activities.	BioGRID:Curators	BIOGRID_PTAG:0000002	FALSE	BRCA1-A	abbreviation
BIOGRID_PTAG:0000006	E3	Ubiquitin ligase; binds ubiquitin-conjugated E2 enzyme and a protein substrate at distinct domains to mediate formation of a covalent bond between ubiquitin and the protein; E3s are divided into HECT or RING E3 classes based on their E2-interacting domain.	BioGRID:Curators	BIOGRID_PTAG:0000002	FALSE	E3	abbreviation
BIOGRID_PTAG:0000007	UBP	"Ubiquitin binding protein; this functional group includes proteins with UBA, CUE, UIM, VHS, GAT, NZF, UBZ, GLUE, PRU, or PFU domains."	BioGRID:Curators	BIOGRID_PTAG:0000002	FALSE	UBP	abbreviation
BIOGRID_PTAG:0000008	COP9 SIGNALOSOME	Complex that has deneddylase activity and reverses cullin neddylation; has structural similarity to the 19S proteasomal lid.	BioGRID:Curators	BIOGRID_PTAG:0000002	FALSE	COP9	abbreviation
BIOGRID_PTAG:0000009	E2	"Ubiquitin-conjugating enzyme; interacts with the ubiquitin-E1 thioester species to become conjugated with ubiquitin, and subsequently transfers that ubiquitin to an E3 ubiquitin ligase. In some circumstances E2s can directly ubiquitinate substrates.  Contains a conserved UBC domain with a catalytic cysteine and the interaction interfaces for E1 and E3 enzymes; eg, yeast UBC7."	BioGRID:Curators	BIOGRID_PTAG:0000002	FALSE	E2	abbreviation
BIOGRID_PTAG:0000010	ERAD	Endoplasmic reticulum-associated degradation; pathway in the ER for elimination of ER-associated proteins including misfolded secretory proteins. The process includes retrotranslocation of polyubiquitinated target proteins to the cytoplasm for subsequent degradation by the proteasome.	BioGRID:Curators	BIOGRID_PTAG:0000002	FALSE	ERAD	abbreviation
BIOGRID_PTAG:0000011	PROTEASOME	"Highly conserved multisubunit complex that functions to degrade ubiquitylated proteins; proteasomes are composed of a 20S core particle and a 19S regulatory particle that form the complete 26S structure. The 19S particle consists of 2 subcomplexes, the base and the lid, which has deubiquitinating activity. "	BioGRID:Curators	BIOGRID_PTAG:0000002	FALSE	PROT	abbreviation
BIOGRID_PTAG:0000012	UFD1L/VCP/NPLOC4 COMPLEX	Complex of hexameric AAA ATPase VCP/Cdc48 and cofactors UFD1L and NPLOC4; hydrolysis of ATP by VCP/Cdc48 hydrolysis of ATP promotes structural remodeling of clients allowing the UFD1L/VCP/NPLOC4 complex to extract proteins from complexes or other cellular components such as the ER membrane in ER-associated degradation.	BioGRID:Curators	BIOGRID_PTAG:0000002	FALSE	UVNC	abbreviation
BIOGRID_PTAG:0000013	NEDD8 E2	"Nedd8-conjugating enzyme; contains a conserved catalytic core domain that is sufficient for interacting with E1, forming an E2-Nedd8 thioester intermediate, and for interacting with E3 target complexes. Accepts the ubiquitin-like protein Nedd8 from the E1-Nedd8 thioester species, and catalyzes its covalent attachment to an E3 ubiquitin ligase."	BioGRID:Curators	BIOGRID_PTAG:0000002	FALSE	N8 E2	abbreviation
BIOGRID_PTAG:0000014	NEDD8 E1	"Nedd8-activating enzyme; catalyzes the adenylation of the C-terminal glycine residue with ATP and forms a covalent E1-Nedd8 thioester intermediate, in preparation for transfer to an E2 enzyme."	BioGRID:Curators	BIOGRID_PTAG:0000002	FALSE	N8 E1	abbreviation
