ID	Name	Def	Def Source	Relationship	Is Obsolete	Synonym	Synonym Type
BIOGRID_MOD:0000001	Post-Translational Modification	none	none	root	FALSE	none	none
BIOGRID_MOD:0000002	Phosphorylation	none	none	BIOGRID_MOD:0000001	FALSE	none	none
BIOGRID_MOD:0000003	Ubiquitination	none	none	BIOGRID_MOD:0000001	FALSE	none	none
BIOGRID_MOD:0000004	Sumoylation	none	none	BIOGRID_MOD:0000001	FALSE	none	none
BIOGRID_MOD:0000005	Dephosphorylation	none	none	BIOGRID_MOD:0000001	FALSE	none	none
BIOGRID_MOD:0000006	Methylation	none	none	BIOGRID_MOD:0000001	FALSE	none	none
BIOGRID_MOD:0000007	Prenylation	none	none	BIOGRID_MOD:0000001	FALSE	none	none
BIOGRID_MOD:0000008	Acetylation	none	none	BIOGRID_MOD:0000001	FALSE	none	none
BIOGRID_MOD:0000009	Deubiquitination	none	none	BIOGRID_MOD:0000001	FALSE	none	none
BIOGRID_MOD:0000010	Proteolytic Processing	none	none	BIOGRID_MOD:0000001	FALSE	none	none
BIOGRID_MOD:0000011	Glycosylation	none	none	BIOGRID_MOD:0000001	FALSE	none	none
BIOGRID_MOD:0000012	Nedd(Rub1)ylation	none	none	BIOGRID_MOD:0000001	FALSE	none	none
BIOGRID_MOD:0000013	Deacetylation	none	none	BIOGRID_MOD:0000001	FALSE	none	none
BIOGRID_MOD:0000014	No Modification	none	none	BIOGRID_MOD:0000001	FALSE	none	none
BIOGRID_MOD:0000015	Demethylation	none	none	BIOGRID_MOD:0000001	FALSE	none	none
BIOGRID_MOD:0000016	Ribosylation	none	none	BIOGRID_MOD:0000001	FALSE	none	none
BIOGRID_MOD:0000017	Desumoylation	none	none	BIOGRID_MOD:0000001	FALSE	none	none
BIOGRID_MOD:0000018	Deneddylation	none	none	BIOGRID_MOD:0000001	FALSE	none	none
BIOGRID_MOD:0000019	FAT10ylation	none	none	BIOGRID_MOD:0000001	FALSE	none	none
BIOGRID_MOD:0000020	ISG15ylation	none	none	BIOGRID_MOD:0000001	FALSE	none	none
BIOGRID_MOD:0000021	Neddylation	none	none	BIOGRID_MOD:0000001	FALSE	none	none
BIOGRID_MOD:0000022	Ufmylation	none	none	BIOGRID_MOD:0000001	FALSE	none	none
