ID	Name	Def	Def Source	Relationship	Is Obsolete
BIOGRID_SOURCE:000001	Source	Database/website source references for curated data.	BIOGRID:curators	root	FALSE
BIOGRID_SOURCE:000002	BioGRID	The BioGRID Database (http://thebiogrid.org)	BIOGRID:curators	BIOGRID_SOURCE:000010	FALSE
BIOGRID_SOURCE:000003	PhosphoGRID	The PhosphoGRID Database (http://www.phosphogrid.org)	BIOGRID:curators	BIOGRID_SOURCE:000010	FALSE
BIOGRID_SOURCE:000004	FlyBase	The FlyBase Model Organism Database (http://flybase.org)	BIOGRID:curators	BIOGRID_SOURCE:000011	FALSE
BIOGRID_SOURCE:000005	WormBase	The WormBase Model Organism Database (http://www.wormbase.org)	BIOGRID:curators	BIOGRID_SOURCE:000011	FALSE
BIOGRID_SOURCE:000006	PomBase	The PomBase Model Organism Database (http://www.pombase.org)	BIOGRID:curators	BIOGRID_SOURCE:000011	FALSE
BIOGRID_SOURCE:000007	MGI	The Mouse Genome Informatics Model Organism Database (http://www.informatics.jax.org)	BIOGRID:curators	BIOGRID_SOURCE:000011	FALSE
BIOGRID_SOURCE:000008	DrugBank	The Drugbank Drug and Drug Target Database (http://www.drugbank.ca)	BIOGRID:curators	BIOGRID_SOURCE:000012	FALSE
BIOGRID_SOURCE:000009	SGD	The Saccharomyces Genome Database (http://www.yeastgenome.org)	BIOGRID:curators	BIOGRID_SOURCE:000011	FALSE
BIOGRID_SOURCE:000010	BioGRID Sources	Internally developed BioGRID Resources	BIOGRID:curators	BIOGRID_SOURCE:000001	FALSE
BIOGRID_SOURCE:000011	Model Organism Databases	Model Organism Database Resources	BIOGRID:curators	BIOGRID_SOURCE:000001	FALSE
BIOGRID_SOURCE:000012	Chemical/Drug Databases	Chemical and Drug annotation and target databases	BIOGRID:curators	BIOGRID_SOURCE:000001	FALSE
BIOGRID_SOURCE:000013	Yeast Kinome	The Saccharomyces cerevisiae Kinase and Phosphatase Interactome Resource (http://www.yeastkinome.com)	BIOGRID:curators	BIOGRID_SOURCE:000010	FALSE
